	T [K]	r	c [mol/kg]	k [mS/cm]
580	243.15	0.364	0.617	1.835
581	253.15	0.364	0.617	2.65
582	263.15	0.364	0.617	3.485
583	273.15	0.364	0.617	4.353
584	283.15	0.364	0.617	5.262
585	293.15	0.364	0.617	6.209
586	303.15	0.364	0.617	7.123
587	313.15	0.364	0.617	8.067
588	323.15	0.364	0.617	9.148
589	333.15	0.364	0.617	10.07
590	243.15	0.364	0.617	1.947
591	253.15	0.364	0.617	2.756
592	263.15	0.364	0.617	3.672
593	273.15	0.364	0.617	4.628
594	283.15	0.364	0.617	5.667
595	293.15	0.364	0.617	6.767
596	303.15	0.364	0.617	7.853
597	313.15	0.364	0.617	8.897
598	323.15	0.364	0.617	10.153
599	333.15	0.364	0.617	10.759
600	243.15	0.364	0.617	1.887
601	253.15	0.364	0.617	2.615
602	263.15	0.364	0.617	3.435
603	273.15	0.364	0.617	4.293
604	283.15	0.364	0.617	5.238
605	293.15	0.364	0.617	6.113
606	303.15	0.364	0.617	7.218
607	313.15	0.364	0.617	7.787
608	323.15	0.364	0.617	9.947
609	333.15	0.364	0.617	11.224
610	243.15	0.462	0.617	1.835
611	253.15	0.462	0.617	2.585
612	263.15	0.462	0.617	3.473
613	273.15	0.462	0.617	4.352
614	283.15	0.462	0.617	5.328
615	293.15	0.462	0.617	6.369
616	303.15	0.462	0.617	7.168
617	313.15	0.462	0.617	8.67
618	323.15	0.462	0.617	9.461
619	333.15	0.462	0.617	8.895
620	243.15	0.462	0.617	1.936
621	253.15	0.462	0.617	2.736
622	263.15	0.462	0.617	3.64
623	273.15	0.462	0.617	4.608
624	283.15	0.462	0.617	5.638
625	293.15	0.462	0.617	6.717
626	303.15	0.462	0.617	7.807
627	313.15	0.462	0.617	8.974
628	323.15	0.462	0.617	10.184
629	333.15	0.462	0.617	11.353
630	243.15	0.462	0.617	2.139
631	253.15	0.462	0.617	2.977
632	263.15	0.462	0.617	4.033
633	273.15	0.462	0.617	5.134
634	283.15	0.462	0.617	5.996
635	293.15	0.462	0.617	7.644
636	303.15	0.462	0.617	8.012
637	313.15	0.462	0.617	8.906
638	323.15	0.462	0.617	10.086
639	333.15	0.462	0.617	11.49
640	243.15	0.462	0.617	1.911
641	253.15	0.462	0.617	2.672
642	263.15	0.462	0.617	3.532
643	273.15	0.462	0.617	4.532
644	283.15	0.462	0.617	5.567
645	293.15	0.462	0.617	6.591
646	303.15	0.462	0.617	7.717
647	313.15	0.462	0.617	8.765
648	323.15	0.462	0.617	10.045
649	333.15	0.462	0.617	11.311
650	243.15	0.564	0.617	1.913
651	253.15	0.564	0.617	2.69
652	263.15	0.564	0.617	3.56
653	273.15	0.564	0.617	4.493
654	283.15	0.564	0.617	5.51
655	293.15	0.564	0.617	6.578
656	303.15	0.564	0.617	7.638
657	313.15	0.564	0.617	8.778
